ACCONT_NO,PASSWORD,NAME,CR_AMT,WITHDRAWL,BALANCE
101,533,Mark,1518,2223,414
102,911,Linda,4678,3054,8169
103,9411,Omar,2203,14707,5197
104,9601,William,885,11315,4886
105,2122,Jennifer,12999,1332,30109
106,9891,Omar,13010,20644,3881
107,3802,Daniel,8589,238,8558
108,8914,Amanda,4181,8584,3495
109,1599,Jessica,7295,1385,23994
110,2499,Maria,11668,11651,4704
111,2384,David,63,2676,3676
112,5957,Charles,7455,9781,13297
113,626,Sharon,12818,9404,16476
114,2866,Jessica,14895,6657,15845
115,6001,Stephanie,13993,9870,7315
116,2757,Mark,6280,11918,4193
117,1881,Daniel,13695,1373,13493
118,1398,Emily,11075,11654,8003
119,8522,Michael,564,3871,961
120,4175,Charles,6640,20210,3758
121,8345,Sharon,8792,14583,11464
122,9404,Jennifer,220,8875,2248
123,5159,Linda,1680,4326,1146
124,9518,Linda,12955,312,12728
125,5335,David,11109,12741,8513
126,7472,Daniel,7800,25458,1568
127,1342,John,2638,7520,7061
128,8366,Robert,1923,6991,10915
129,1080,David,10275,974,13595
130,6410,Jennifer,10237,17791,1020
131,5382,Stephanie,11853,18452,8828
132,5626,James,13883,10027,8894
133,4732,Kenji,8558,16272,5132
134,8602,Chris,13093,2857,19847
135,749,Ashley,5846,3958,11413
136,2542,Omar,1126,11376,880
137,4350,Maria,6541,3578,20725
138,6181,Priya,1042,7187,6601
139,786,Daniel,11485,13113,751
140,1659,John,7197,218,23264
